"","x","y","share_100","year"
"1",-367,-809.5,0,2003
"2",-367,-798,0,2003
"3",-367,-786.5,0,2003
"4",-367,-775,0,2003
"5",-367,-763,0,2003
"6",-367,-751.5,0,2003
"7",-367,-740,0,2003
"8",-367,-728.5,0,2003
"9",-367,-717,0,2003
"10",-367,-705,0,2003
"11",-367,-693.5,0,2003
"12",-367,-682,0,2003
"13",-367,-670.5,0,2003
"14",-367,-659,0,2003
"15",-367,-647,0,2003
"16",-367,-635.5,0,2003
"17",-367,-624,0,2003
"18",-367,-612.5,0,2003
"19",-367,-601,0,2003
"20",-367,-589,0,2003
"21",-367,-577.5,0,2003
"22",-367,-566,0,2003
"23",-367,-554.5,0,2003
"24",-367,-543,0,2003
"25",-367,-531.5,0,2003
"26",-367,-520,0,2003
"27",-367,-508,0,2003
"28",-367,-496.5,0,2003
"29",-367,-485,0,2003
"30",-367,-473.5,0,2003
"31",-367,-462,0,2003
"32",-367,-450,0,2003
"33",-367,-438.5,0,2003
"34",-367,-427,0,2003
"35",-367,-415.5,0,2003
"36",-367,-404,0,2003
"37",-367,-392,0,2003
"38",-367,-380.5,0,2003
"39",-367,-369,0,2003
"40",-367,-357.5,0,2003
"41",-367,-346,0,2003
"42",-367,-334,0,2003
"43",-367,-322.5,0,2003
"44",-367,-311,0,2003
"45",-367,-299.5,0,2003
"46",-367,-288,0,2003
"47",-367,-276.5,0,2003
"48",-367,-265,0,2003
"49",-367,-253,0,2003
"50",-367,-241.5,0,2003
"51",-367,-230,0,2003
"52",-367,-218.5,0,2003
"53",-367,-207,0,2003
"54",-367,-195,0,2003
"55",-367,-183.5,0,2003
"56",-367,-172,0,2003
"57",-367,-160.5,0,2003
"58",-367,-149,0,2003
"59",-367,-137,0,2003
"60",-367,-125.5,0,2003
"61",-367,-114,0,2003
"62",-367,-102.3,0,2003
"63",-367,-90.8,0,2003
"64",-367,-79.25,0,2003
"65",-367,-67.7,0,2003
"66",-367,-56.1,0,2003
"67",-367,-44.5,0,2003
"68",-367,-32.9,0,2003
"69",-367,-21.3,0,2003
"70",-367,-9.705,0,2003
"71",-367,1.885,0,2003
"72",-367,13.49,0,2003
"73",-367,25.1,0,2003
"74",-367,36.7,0,2003
"75",-367,48.25,1.980201,2003
"76",-367,59.8,0,2003
"77",-367,71.4,0,2003
"78",-367,83,0,2003
"79",-367,94.4,0,2003
"80",-367,106,1.750301,2003
"81",-367,118,2.90783433333333,2003
"82",-367,129.5,0,2003
"83",-367,141,0,2003
"84",-367,152.5,0,2003
"85",-367,164,0,2003
"86",-367,176,0,2003
"87",-367,187.5,0,2003
"88",-367,199,0,2003
"89",-367,210.5,0,2003
"90",-367,222,0,2003
"91",-367,234,0,2003
"92",-367,245.5,0,2003
"93",-367,257,0,2003
"94",-367,268.5,0,2003
"95",-367,280,0,2003
"96",-367,291.5,0,2003
"97",-367,303,0,2003
"98",-367,315,0,2003
"99",-367,326.5,0,2003
"100",-367,338,0,2003
"101",-355.5,-809.5,0,2003
"102",-355.5,-798,0,2003
"103",-355.5,-786.5,0,2003
"104",-355.5,-775,0,2003
"105",-355.5,-763,0,2003
"106",-355.5,-751.5,0,2003
"107",-355.5,-740,0,2003
"108",-355.5,-728.5,0,2003
"109",-355.5,-717,0,2003
"110",-355.5,-705,0,2003
"111",-355.5,-693.5,0,2003
"112",-355.5,-682,0,2003
"113",-355.5,-670.5,0,2003
"114",-355.5,-659,0,2003
"115",-355.5,-647,0,2003
"116",-355.5,-635.5,0,2003
"117",-355.5,-624,0,2003
"118",-355.5,-612.5,0,2003
"119",-355.5,-601,0,2003
"120",-355.5,-589,0,2003
"121",-355.5,-577.5,0,2003
"122",-355.5,-566,0,2003
"123",-355.5,-554.5,0,2003
"124",-355.5,-543,0,2003
"125",-355.5,-531.5,0,2003
"126",-355.5,-520,0,2003
"127",-355.5,-508,0,2003
"128",-355.5,-496.5,0,2003
"129",-355.5,-485,0,2003
"130",-355.5,-473.5,0,2003
"131",-355.5,-462,0,2003
"132",-355.5,-450,0,2003
"133",-355.5,-438.5,0,2003
"134",-355.5,-427,0,2003
"135",-355.5,-415.5,0,2003
"136",-355.5,-404,0,2003
"137",-355.5,-392,0,2003
"138",-355.5,-380.5,0,2003
"139",-355.5,-369,0,2003
"140",-355.5,-357.5,0,2003
"141",-355.5,-346,0,2003
"142",-355.5,-334,0,2003
"143",-355.5,-322.5,0,2003
"144",-355.5,-311,0,2003
"145",-355.5,-299.5,0,2003
"146",-355.5,-288,0,2003
"147",-355.5,-276.5,0,2003
"148",-355.5,-265,0,2003
"149",-355.5,-253,0,2003
"150",-355.5,-241.5,0,2003
"151",-355.5,-230,0,2003
"152",-355.5,-218.5,0,2003
"153",-355.5,-207,0,2003
"154",-355.5,-195,0,2003
"155",-355.5,-183.5,0,2003
"156",-355.5,-172,0,2003
"157",-355.5,-160.5,0,2003
"158",-355.5,-149,0,2003
"159",-355.5,-137,0,2003
"160",-355.5,-125.5,0,2003
"161",-355.5,-114,0,2003
"162",-355.5,-102.3,0,2003
"163",-355.5,-90.8,0,2003
"164",-355.5,-79.25,0,2003
"165",-355.5,-67.7,0,2003
"166",-355.5,-56.1,0,2003
"167",-355.5,-44.5,0,2003
"168",-355.5,-32.9,0,2003
"169",-355.5,-21.3,0,2003
"170",-355.5,-9.705,0,2003
"171",-355.5,1.885,0,2003
"172",-355.5,13.49,0,2003
"173",-355.5,25.1,0,2003
"174",-355.5,36.7,0.561801,2003
"175",-355.5,48.25,0.165001,2003
"176",-355.5,59.8,1e-06,2003
"177",-355.5,71.4,1e-06,2003
"178",-355.5,83,0,2003
"179",-355.5,94.4,0,2003
"180",-355.5,106,0,2003
"181",-355.5,118,3.89723433333333,2003
"182",-355.5,129.5,0.970284333333333,2003
"183",-355.5,141,0,2003
"184",-355.5,152.5,0,2003
"185",-355.5,164,0,2003
"186",-355.5,176,0,2003
"187",-355.5,187.5,0.131601,2003
"188",-355.5,199,0.879001,2003
"189",-355.5,210.5,0,2003
"190",-355.5,222,0,2003
"191",-355.5,234,0,2003
"192",-355.5,245.5,0,2003
"193",-355.5,257,0,2003
"194",-355.5,268.5,0,2003
"195",-355.5,280,0,2003
"196",-355.5,291.5,0,2003
"197",-355.5,303,0,2003
"198",-355.5,315,0,2003
"199",-355.5,326.5,0,2003
"200",-355.5,338,0,2003
"201",-344,-809.5,0,2003
"202",-344,-798,0,2003
"203",-344,-786.5,0,2003
"204",-344,-775,0,2003
"205",-344,-763,0,2003
"206",-344,-751.5,0,2003
"207",-344,-740,0,2003
"208",-344,-728.5,0,2003
"209",-344,-717,0,2003
"210",-344,-705,0,2003
"211",-344,-693.5,0,2003
"212",-344,-682,0,2003
"213",-344,-670.5,0,2003
"214",-344,-659,0,2003
"215",-344,-647,0,2003
"216",-344,-635.5,0,2003
"217",-344,-624,0,2003
"218",-344,-612.5,0,2003
"219",-344,-601,0,2003
"220",-344,-589,0,2003
"221",-344,-577.5,0,2003
"222",-344,-566,0,2003
"223",-344,-554.5,0,2003
"224",-344,-543,0,2003
"225",-344,-531.5,0,2003
"226",-344,-520,0,2003
"227",-344,-508,0,2003
"228",-344,-496.5,0,2003
"229",-344,-485,0,2003
"230",-344,-473.5,0,2003
"231",-344,-462,0,2003
"232",-344,-450,0,2003
"233",-344,-438.5,0,2003
"234",-344,-427,0,2003
"235",-344,-415.5,0,2003
"236",-344,-404,0,2003
"237",-344,-392,0,2003
"238",-344,-380.5,0,2003
"239",-344,-369,0,2003
"240",-344,-357.5,0,2003
"241",-344,-346,0,2003
"242",-344,-334,0,2003
"243",-344,-322.5,0,2003
"244",-344,-311,0,2003
"245",-344,-299.5,0,2003
"246",-344,-288,0,2003
"247",-344,-276.5,0,2003
"248",-344,-265,0,2003
"249",-344,-253,0,2003
"250",-344,-241.5,0,2003
"251",-344,-230,0,2003
"252",-344,-218.5,0,2003
"253",-344,-207,0,2003
"254",-344,-195,0,2003
"255",-344,-183.5,0,2003
"256",-344,-172,0,2003
"257",-344,-160.5,0,2003
"258",-344,-149,0,2003
"259",-344,-137,0,2003
"260",-344,-125.5,0,2003
"261",-344,-114,0,2003
"262",-344,-102.3,0,2003
"263",-344,-90.8,0,2003
"264",-344,-79.25,0,2003
"265",-344,-67.7,0,2003
"266",-344,-56.1,0,2003
"267",-344,-44.5,0,2003
"268",-344,-32.9,0,2003
"269",-344,-21.3,0,2003
"270",-344,-9.705,0,2003
"271",-344,1.885,0,2003
"272",-344,13.49,0,2003
"273",-344,25.1,0,2003
"274",-344,36.7,0.745501,2003
"275",-344,48.25,1.05263433333333,2003
"276",-344,59.8,0.949301,2003
"277",-344,71.4,1.408451,2003
"278",-344,83,1e-06,2003
"279",-344,94.4,0.897401,2003
"280",-344,106,1.481401,2003
"281",-344,118,0.837501,2003
