"","lat","long"
"1",45.367055,7.766918
"2",44.917042,7.484321
"3",45.31515,7.305909
"4",45.432959,7.950621
"5",45.460658,7.779217
"6",45.119146,7.401115
"7",45.409454,7.577313
"8",45.101947,7.526618
"9",45.037748,7.870527
"10",45.52736,7.880318
"11",44.843538,7.224216
"12",45.039049,7.897927
"13",45.077145,7.398616
"14",45.423459,7.993922
"15",45.386056,7.755318
"16",45.270451,7.517415
"17",45.410256,7.744217
"18",45.067948,7.811625
"19",45.302848,7.215808
"20",45.453558,7.856318
"21",45.291252,7.630317
"22",45.078338,6.703201
"23",45.325755,7.873421
"24",45.023145,7.583921
"25",44.798937,7.288219
"26",44.808536,7.116915
"27",45.470859,7.94202
"28",45.148249,7.65672
"29",45.417055,7.668515
"30",45.51286,7.858017
"31",45.363257,7.987523
"32",45.122844,7.239712
"33",45.266953,7.76292
"34",45.177251,7.837723
"35",44.823538,7.305419
"36",45.493259,7.803917
"37",45.116952,8.071929
"38",45.009944,7.484219
"39",45.155453,8.062728
"40",45.139644,7.19841
"41",44.87364,7.41032
"42",45.48116,7.93392
"43",45.332853,7.657216
"44",45.140344,7.146409
"45",45.069845,7.428417
"46",45.25,7.5166667
"47",45.304955,7.895722
"48",44.968346,7.772026
"49",44.802838,7.324219
"50",45.327755,7.885121
"51",44.959244,7.601722
"52",45.374854,7.596214
"53",44.945941,7.330317
"54",45.339251,7.387111
"55",45.118845,7.331914
"56",45.398258,7.960322
"57",45.583561,7.810715
"58",44.906943,7.673225
"59",44.847042,7.718027
"60",45.130451,7.940426
"61",45.480159,7.905619
"62",45.104746,7.480817
"63",45.177849,7.642619
"64",45.159251,7.889425
"65",44.898142,7.566123
"66",45.381955,7.712117
"67",45.438156,7.694615
"68",45.11905,7.807124
"69",45.151753,8.049028
"70",40.148823,18.195226
"71",44.862041,7.498222
"72",45.31465,7.389611
"73",45.431952,7.235706
"74",44.952236,6.790805
"75",45.363651,7.341309
"76",45.148544,7.16981
"77",45.49886,7.902619
"78",45.013947,7.822326
"79",45.619291,11.032185
"80",45.119542,6.985306
"81",45.104245,7.327114
"82",45.189352,7.887224
"83",45.330254,7.758519
"84",45.428556,7.688115
"85",45.09425,7.925627
"86",45.23505,7.598817
"87",44.939735,6.753005
"88",45.297751,7.460413
"89",45.054543,7.306914
"90",45.077546,7.572419
"91",45.422356,7.679815
"92",45.432857,7.798518
"93",45.117345,7.307613
"94",45.313752,7.532214
"95",45.387758,7.991523
"96",45.359155,7.817419
"97",44.979742,7.376717
"98",45.389455,7.649915
"99",45.134748,7.576618
"100",45.097541,6.929205
"101",45.331154,7.690617
"102",45.303853,7.744719
"103",45.03594,7.049409
"104",45.216849,7.522716
"105",45.467758,7.833718
"106",45.271953,7.819821
"107",45.345353,7.591015
"108",45.436855,7.606713
"109",45.280852,7.663618
"110",44.933041,7.350017
"111",44.837239,7.37442
"112",45.13165,7.827624
"113",45.26385,7.469514
"114",45.140243,7.010706
"115",45.047044,7.349215
"116",45.162248,7.496416
"117",45.125342,7.017507
"118",45.36805,7.258007
"119",45.256451,7.557316
"120",45.068046,7.57762
"121",45.466556,7.572212
"122",44.94564,7.218414
"123",44.906446,7.90903
"124",45.446257,7.753216
"125",45.4833333,7.8833333
"126",45.180348,7.516316
"127",44.957744,7.667324
"128",45.27345,7.479614
"129",45.158252,7.991627
"130",NA,NA
"131",45.228647,7.294111
"132",45.478258,7.814717
"133",45.316652,7.606316
"134",45.417653,7.458911
"135",45.235452,7.74032
"136",44.840941,7.635925
"137",45.441657,7.812718
"138",45.445057,7.782117
"139",44.815437,7.251318
"140",44.803137,7.246718
"141",45.318454,7.764619
"142",44.851139,7.39802
"143",45.346657,8.013324
"144",45.055149,7.877026
"145",44.958739,7.056711
"146",45.25515,7.542015
"147",45.118143,7.115109
"148",45.300255,7.932723
"149",45.122043,7.064708
"150",45.356556,7.880121
"151",45.490258,7.779416
"152",45.29485,7.395612
"153",45.045749,7.920827
"154",45.147443,7.043007
"155",45.301851,7.439712
"156",44.996246,7.690323
"157",45.204044,6.984605
"158",45.065349,7.850226
"159",45.337455,7.83882
"160",45.490759,7.862818
"161",45.233553,7.853323
"162",45.150852,8.017128
"163",45.037649,7.940028
"164",44.994045,7.641823
"165",45.453353,7.315707
"166",45.24125,7.573116
"167",45.53616,7.860317
"168",44.933143,7.540121
"169",45.191844,7.014505
"170",45.342554,7.693717
"171",45.003844,7.53992
"172",45.329255,7.861721
"173",44.849439,7.343019
"174",44.871442,7.608024
"175",45.035538,6.833805
"176",45.348955,7.745218
"177",45.459259,7.978921
"178",44.833441,7.585924
"179",45.430657,7.793217
"180",45.072549,7.834625
"181",45.437558,7.851719
"182",45.452057,7.777417
"183",45.020747,7.750224
"184",44.95744,7.190914
"185",45.397057,7.830819
"186",44.938239,7.113712
"187",45.355654,7.641516
"188",45.28675,7.415312
"189",45.105847,7.543418
"190",44.94564,7.218414
"191",44.88394,7.333118
"192",45.039547,7.777125
"193",44.932943,7.610123
"194",44.990543,7.463719
"195",44.918741,7.425319
"196",45.446259,8.005722
"197",44.920845,7.846928
"198",44.95614,7.183614
"199",45.422855,7.596213
"200",44.887139,7.269817
"201",45.0166667,6.95
"202",44.9,7.05
"203",44.859744,7.901431
"204",44.908139,7.190715
"205",44.866339,7.267617
"206",45.367754,7.616915
"207",45.352753,7.596015
"208",45.426757,7.781617
"209",45.52286,7.832317
"210",45.56296,7.807315
"211",45.053044,7.427117
"212",45.432554,7.502311
"213",45.11835,7.888125
"214",45.034045,7.518419
"215",44.984947,7.872328
"216",45.332553,7.632916
"217",45.331154,7.717018
"218",45.251652,7.714819
"219",45.071546,7.526219
"220",45.200049,7.568917
"221",45.309752,7.576215
"222",44.924441,7.332317
"223",45.388657,7.86652
"224",45.501356,7.547811
"225",45.246854,7.963125
"226",NA,NA
"227",45.00214,7.131612
"228",45.067945,7.465117
